bootstrap_id,mae,rmse,r2
0,2.311465241544203,2.7333033838495138,0.02363237888411618
1,2.084394149913628,2.633930788800563,0.02452597761962616
2,2.4929871686690865,3.0922423495021296,0.017602081145461135
3,2.4776874626749796,3.0475004633903624,-0.0006942387567574482
4,2.216208523896954,2.721315408189972,-0.007180325178441693
5,2.2774815625429863,2.8074643498189524,0.013279151284822377
6,2.313006768090168,2.8606998625369493,0.023206344152453817
7,2.361560046367875,2.856353472206976,-0.005639927215732143
8,2.4496014259880594,2.956910952806929,0.02494134143844373
9,2.404338681506549,2.9073838906926324,0.014133308653192844
10,2.4904032737746746,2.938401779434775,0.008414607290235687
11,2.3474463065065097,2.90551243147717,-0.028270353701665085
12,2.312090629535446,2.8418541815950213,0.018496816708653108
13,2.3691977522992462,2.9031504529678664,0.015019794843066925
14,2.50008040372045,2.9807423979904506,0.010106590827083428
15,2.4474409972619338,2.992664269860041,0.029446238934319302
16,2.2448353223489477,2.780512831238792,0.012714518321814694
17,2.40756211426084,2.8918490753146533,0.02174781536190118
18,2.455611984420837,2.98836469307423,0.007728028324607061
19,2.290403038745737,2.8936661117291864,0.0012830740866848211
20,2.435468636283856,3.018583188146439,0.005801648250104985
21,2.439121760651706,2.9280976157600835,-0.011605853776185615
22,2.371386439546876,2.984865045779738,0.029016508299555155
23,2.384606594276018,2.893702473698543,0.01022486029873515
24,2.296892603383485,2.8544804293331354,0.0262319183484766
25,2.4890182059497397,3.060043590938823,-0.0031111405513235546
26,2.2307841573616765,2.7450378992007187,0.002588326778212635
27,2.492226559601997,3.0041370215461236,-0.0018072715176231657
28,2.422593898401677,2.867637881140696,0.010965117152157533
29,2.473567328068585,3.0165294617042133,-0.016240668028961736
30,2.2746339258587382,2.7992303948362087,-0.009053441126764872
31,2.4907658564414,3.0314719122746805,-0.0016091227904033722
32,2.342838832946613,2.8943378199423497,0.00843335424522862
33,2.210859070723342,2.741455084327714,0.009334205053253886
34,2.1980191846273462,2.674716000602487,-0.01922234757397967
35,2.2036912965233144,2.697693548535085,0.005639783677839905
36,2.3440739823096437,2.863379920833882,0.0022660482739682575
37,2.3711782405546216,2.916755944229413,0.03463753228706823
38,2.305001356286882,2.896069058751391,0.006351811251927075
39,2.3664341313877855,2.871543501606256,0.015768937159805874
40,2.4677268786507094,2.9872753951026243,0.012469378824553345
41,2.3769228466088053,2.919325871483249,0.0017051751882802835
42,2.30622648081434,2.8131369701344324,0.011836246632369485
43,2.423563976937592,2.9588873335618007,0.005783301307455191
44,2.4279245028909844,2.9693697495998372,0.021625780009527307
45,2.396431342245756,2.877949212087588,0.005550318955731215
46,2.2353545297457127,2.7641512949088867,0.02846492074765583
47,2.3852814555707207,2.9083265484376613,0.018874581460054607
48,2.3385961599426537,2.902450869467288,0.018591168147973125
49,2.421003869120559,2.984687921703453,0.019333357487104963
50,2.519697938731828,3.0981444080396705,0.029412731427089778
51,2.2642890282817505,2.766129195694255,0.014398515148662638
52,2.4716974277431722,2.954765357683672,-0.003088499465456751
53,2.380154962081552,2.9269311301199683,-0.016771709864704
54,2.4499102050580603,2.93073228075718,-0.004346626154787092
55,2.138495296114356,2.622439285841799,0.01303658472053948
56,2.229296515467459,2.8172510497431733,0.028524097576680396
57,2.355616670199034,2.9202347683154803,0.022830404823407258
58,2.322501726937431,2.797478667827433,0.022741057497786987
59,2.4771585462458443,2.943879512460203,-0.005448204310109173
60,2.3115711477483125,2.794878455707171,0.012680470482642647
61,2.3810834178193696,2.871799738094167,0.033772549152479736
62,2.3980906339249453,2.906674447846363,0.02437542874108345
63,2.026352667318366,2.5639811809672692,0.009668859961163845
64,2.519540137664622,3.0443554459271036,0.019310934634201526
65,2.3344898084663015,2.8756644144270993,0.02400848270416256
66,2.462347874416971,2.956414131212278,0.029317724820289826
67,2.430044135355944,2.924507580620921,-0.00759663877492045
68,2.395999171487956,2.898308838415245,0.016625879028126733
69,2.504785147979949,3.0244729009711673,0.0009598385630082973
70,2.374530320352447,2.9135392194457004,0.0013868035139527057
71,2.1899494901593615,2.7507930489905195,0.014238007084405369
72,2.4230166889631146,3.0028647641687187,0.026979817495186853
73,2.1953363608770218,2.7452041353587195,0.017086234051326032
74,2.2973662500596292,2.8270154014518654,-0.008427657264752808
75,2.390206896676747,2.918202776380978,0.022274501613487208
76,2.4397857842308395,2.943587876261826,0.016866125974799306
77,2.5407001442308426,3.010450503996354,0.018586661100968627
78,2.3778503481247215,2.915370237354737,-0.013841485946249232
79,2.4751188710971235,3.02413090498796,-0.011868393855268167
80,2.342920479444598,2.8624392402836643,0.013622419291197896
81,2.2194929032409627,2.736922642304452,0.0005328189533092553
82,2.197295149193601,2.7207887213876405,-0.007696720925953082
83,2.3806307574644148,2.941473000060316,-0.00041396479620003923
84,2.443683439633502,2.9608459603286637,-0.0294045741731237
85,2.3015148669368504,2.806014176356567,0.010567328578029112
86,2.2368843070317848,2.7680138303853945,0.024864363201044792
87,2.467331502339738,3.0079200492953047,-0.01497122598106193
88,2.4138706379413204,2.9877939062819125,0.005353329244945582
89,2.35628074621953,2.837217099977052,0.023428007815536223
90,2.292064120500162,2.7593709122239716,0.002794608878108562
91,2.2721459875429075,2.793624348528504,0.010859750908932098
92,2.478337897805982,3.0072838795214594,0.02022656553613189
93,2.36993517676752,2.9041612416719476,-0.01939795602918193
94,2.252298977049873,2.747935602801207,0.019275236804055185
95,2.5185950028999358,3.0109420536970144,-0.003607223359258116
96,2.3888140171220558,2.950228554348744,0.010804215974230202
97,2.3809643252683617,2.888334530979584,-0.0020745202239447202
98,2.4203739825293398,2.932130350198845,0.009377165540588983
99,2.4131868268784378,2.9441481565577274,-0.0035953423642121063
100,2.1497202385114007,2.749750170797157,0.01222705074212671
101,2.2516560101615215,2.7483980266772217,0.010657964119109242
102,2.2840137774104514,2.8381166340890642,0.023374742946409843
103,2.369931663555792,2.886301065779955,-0.007740939924237855
104,2.318610139595507,2.8745769300657504,0.024227581220638728
105,2.298711478966209,2.7973567096887972,0.015727115800595493
106,2.351177789104214,2.9255632643798153,0.02268139931816382
107,2.2370835807488967,2.818645614005917,0.020458990295043056
108,2.2497094500572152,2.7651543212820386,0.023133781707935674
109,2.373087655013211,2.870946714083564,0.0137187797002436
110,2.4595412798925187,2.9488782918037457,-0.01631358012747275
111,2.4152309375060526,2.9846628070536343,0.012970851146267504
112,2.509981288710845,3.038909451844211,0.021419666744768695
113,2.460575601383609,2.9996694758613884,0.008805166750536109
114,2.34803200537474,2.9269154922344125,-0.02950691686231366
115,2.3729762068172815,2.89911348868906,0.0036100527208509092
116,2.5217774692966306,3.053489702597133,-0.008438693668489705
117,2.4545773974722302,2.961310757498025,0.009931616026795487
118,2.449817898218408,2.9130175487025953,0.0018697056955058189
119,2.334698698086259,2.841223312811609,-0.013546644541754027
120,2.2096235752959306,2.712724254726743,0.008775848386452956
121,2.42908149559543,2.986133275900008,0.0004506646560374916
122,2.22316422337236,2.8205448185772046,0.016941672548902553
123,2.351553701590016,2.9107190911496197,0.015321141024462692
124,2.4746710373200482,3.014439968508001,0.004726285333973346
125,2.4147299498306043,2.982953452626172,0.03125701304704154
126,2.249784286889866,2.7281340959008387,0.006074874681440967
127,2.379707898811626,2.9149811491733537,0.015375120651314966
128,2.354474341136789,2.8717660768706725,0.018001463117313432
129,2.226082825316383,2.649327295218033,0.025854456571843043
130,2.272381258896725,2.8275326003068035,0.01567204963837976
131,2.4278628953927894,3.029784426622857,0.019902429856692105
132,2.3712488170620616,2.913729212197101,0.0032539042926824635
133,2.303173300805075,2.841932018610824,0.025238933628450977
134,2.573048970122396,3.1233908400024735,-0.01754343770512823
135,2.3542599622908074,2.912056273754697,0.00014037826316182223
136,2.520461476416374,3.0071164018114924,0.0010380528585983706
137,2.256569021060377,2.742262497882686,0.017697796125305976
138,2.275278232514963,2.746625852288001,0.04072943000858087
139,2.4261420590887663,2.961587855342611,-0.002677548289899967
140,2.2664838629824393,2.758361245120594,0.0002757708527210134
