metric,ci_2_5,median,ci_97_5
mae,2.1448765099998055,2.3693547091078813,2.591237003245866
rmse,2.6597981754931475,2.8909719535069325,3.1298657187146612
r2,-0.0181740284436806,0.00943434079590516,0.033965577425399365
